SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,47.70,aes128-gcm@openssh.com,50.75
SSH-2.0-paramiko_2.12.0,1.41,aes256-gcm@openssh.com,3.62
SSH-1.5-Server,0.04,aes256-ctr,0.04
SSH-2.0-PUTTY,42.57,aes128-ctr,45.60
SSH-2.0-OpenSSH_6.6.1,0.04,,
SSH-2.0-libssh-0.1,0.04,,
SSH-2.0-libssh_0.7.4,0.11,,
SSH-2.0-libssh2_1.9.0,0.36,,
SSH-2.0-OpenSSH_7.4,0.51,,
SSH-2.0-OpenSSH,0.04,,
SSH-2.0-OpenSSH_9.0,0.11,,
SSH-2.0-libssh_0.10.5,2.75,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.14,,
SSH-2.0-libssh2_1.11.0,0.87,,
SSH-2.0-libssh-0.2,3.33,,
