SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.8.2,0.82,chacha20-poly1305@openssh.com,0.09
SSH-2.0-libssh-0.2,0.58,aes128-ctr,7.53
SSH-2.0-Go,13.16,aes256-gcm@openssh.com,79.34
SSH-2.0-OpenSSH_6.6.1,0.03,aes128-gcm@openssh.com,12.96
SSH-2.0-libssh-0.1,0.08,aes256-ctr,0.09
SSH-2.0-libssh_0.10.5,0.90,,
SSH-2.0-OpenSSH_7.4,0.87,,
SSH-2.0-libssh2_1.9.0,2.03,,
SSH-2.0-libssh2_1.11.0,0.79,,
SSH-2.0-OpenSSH,1.48,,
SSH-2.0-OpenSSH_5.3,0.05,,
SSH-2.0-libssh_0.9.6,76.49,,
SSH-2.0-libssh_0.7.4,0.11,,
SSH-2.0-libssh2_1.10.0,2.25,,
SSH-2.0-OpenSSH_9.0,0.05,,
SSH-2.0-makiko,0.21,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.11,,
